STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,2/13/2020,2.32,",,S",66,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,2/14/2020,0,",,S",75,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,2/15/2020,,,75,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,2/17/2020,0.02,",,S",73,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,2/18/2020,0,",,S",74,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,2/19/2020,,,72,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,2/20/2020,,,75,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,2/21/2020,,,78,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,2/23/2020,0.01,",,S",70,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,2/24/2020,7.95,",,S",62,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,2/25/2020,0,",,S",64,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,2/26/2020,0.02,",,S",68,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,2/27/2020,0,",,S",73,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,2/28/2020,,,71,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,2/29/2020,0.2,",,S",63,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,3/1/2020,0,",,S",62,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,3/2/2020,,,63,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,3/3/2020,,,67,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,3/4/2020,0.08,",,S",67,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,3/5/2020,0.01,",,S",67,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,3/6/2020,0,",,S",67,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,3/7/2020,,,65,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,3/8/2020,,,68,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,3/9/2020,,,69,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,3/10/2020,,,72,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,3/11/2020,,,72,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,3/12/2020,,,71,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,3/13/2020,,,72,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,3/14/2020,,,75,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,3/15/2020,,,76,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,3/16/2020,,,72,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,3/17/2020,0.35,",,S",62,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,3/18/2020,0.02,",,S",68,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,3/19/2020,0,",,S",76,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,3/20/2020,,,71,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,3/21/2020,,,74,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,3/22/2020,,,69,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,3/23/2020,,,71,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,3/24/2020,,,76,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,3/25/2020,,,77,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,3/26/2020,,,84,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,3/27/2020,0.24,",,S",62,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,3/28/2020,0.67,",,S",63,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,3/29/2020,0.08,",,S",70,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,3/30/2020,0,",,S",68,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,3/31/2020,,,70,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,4/1/2020,,,71,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,4/2/2020,0.02,",,S",63,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,4/3/2020,0.03,",,S",58,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,4/4/2020,0.04,",,S",62,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,4/5/2020,0.04,",,S",68,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,4/6/2020,0.01,",,S",76,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,4/7/2020,0,",,S",80,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,4/8/2020,0.08,",,S",60,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,4/13/2020,,,76,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,4/14/2020,,,74,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,4/15/2020,0.04,",,S",67,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,4/16/2020,0,",,S",70,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,4/17/2020,0.24,",,S",65,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,4/18/2020,0.55,",,S",65,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,4/19/2020,0.08,",,S",65,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,4/20/2020,0,",,S",64,"H,,S"
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,4/21/2020,,,66,"H,,S"
