STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TAVG
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,2/27/2020,0,73
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,2/28/2020,,71
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,2/29/2020,0.2,63
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,3/1/2020,0,62
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,3/2/2020,,63
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,3/3/2020,,67
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,3/4/2020,0.08,67
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,3/5/2020,0.01,67
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,3/6/2020,0,67
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,3/7/2020,,65
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,3/8/2020,,68
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,3/9/2020,,69
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,3/10/2020,,72
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,3/11/2020,,72
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,3/12/2020,,71
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,3/13/2020,,72
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,3/14/2020,,75
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,3/15/2020,,76
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,3/16/2020,,72
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,3/17/2020,0.35,62
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,3/18/2020,0.02,68
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,3/19/2020,0,76
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,3/20/2020,,71
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,3/21/2020,,74
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,3/22/2020,,69
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,3/23/2020,,71
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,3/24/2020,,76
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,3/25/2020,,77
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,3/26/2020,,84
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,3/27/2020,0.24,62
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,3/28/2020,0.67,63
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,3/29/2020,0.08,70
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,3/30/2020,0,68
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,3/31/2020,,70
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,4/1/2020,,71
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,4/2/2020,0.02,63
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,4/3/2020,0.03,58
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,4/4/2020,0.04,62
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,4/5/2020,0.04,68
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,4/6/2020,0.01,76
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,4/7/2020,0,80
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,4/8/2020,0.08,60
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,4/13/2020,,76
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,4/14/2020,,74
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,4/15/2020,0.04,67
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,4/16/2020,0,70
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,4/17/2020,0.24,65
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,4/18/2020,0.55,65
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,4/19/2020,0.08,65
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,4/20/2020,0,64
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,4/21/2020,,66
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,4/22/2020,,66
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,4/23/2020,,66
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,4/24/2020,,65
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,4/25/2020,,69
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,4/26/2020,0.59,62
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,4/27/2020,0.39,63
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,4/28/2020,0.01,65
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,4/29/2020,0.31,64
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,4/30/2020,0.01,67
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,5/1/2020,0,67
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,5/2/2020,,66
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,5/3/2020,,71
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,5/4/2020,,66
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,5/5/2020,,62
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,5/6/2020,,66
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,5/7/2020,0.01,62
SF005547860,"LYDENBURG, SF",-25.1,30.467,1425,5/8/2020,0.03,63
